Date,Open,High,Low,Close,Volume,MarketCap
2017-07-25,0.1152,0.1158,0.1015,0.1059,145269,10587000
2017-07-26,0.1059,0.109,0.09927,0.1051,200395,10513800
2017-07-27,0.1051,0.1085,0.1009,0.1077,344499,10773700
2017-07-28,0.1076,0.109,0.1015,0.1041,342568,10406700
2017-07-29,0.1048,0.1113,0.1011,0.1078,340218,10781100
2017-07-30,0.1079,0.1081,0.1032,0.1064,224261,10641400
2017-07-31,0.1068,0.1083,0.1016,0.1042,240309,10425000
2017-08-01,0.1046,0.1063,0.09611,0.09987,300413,9986680
2017-08-02,0.09972,0.1012,0.09736,0.1005,256793,10045200
2017-08-03,0.1003,0.107,0.09912,0.1066,293008,10664200
2017-08-04,0.1067,0.1078,0.1027,0.1075,287621,10749400
2017-08-05,0.1074,0.1447,0.1071,0.1289,542878,12887100
2017-08-06,0.1293,0.133,0.1274,0.131,393681,13099900
2017-08-07,0.134,0.1498,0.1333,0.1488,748177,14884800
2017-08-08,0.149,0.2269,0.1478,0.2244,2617340,22442100
2017-08-09,0.2247,0.2606,0.2222,0.2429,3075320,24291200
2017-08-10,0.2518,0.35,0.2451,0.3491,4118070,34907900
2017-08-11,0.3488,0.4097,0.3111,0.3926,4413920,39257200
2017-08-12,0.3922,0.476,0.3376,0.4464,5080760,44636500
2017-08-13,0.446,1.02,0.446,0.8768,13852100,87682800
2017-08-14,0.8729,1.46,0.7358,1.3,51698100,129557000
2017-08-15,1.33,1.38,0.9234,1.06,19824400,105655000
2017-08-16,1.12,1.45,1.08,1.44,31363100,143724000
2017-08-17,1.44,2.11,1.32,1.97,61296500,196715000
2017-08-18,1.93,2.75,1.89,2.38,69048000,238400000
2017-08-19,2.33,2.33,1.82,2.09,43391300,209337000
2017-08-20,2.11,2.69,2.08,2.5,65350400,250258000
2017-08-21,2.43,2.91,2.43,2.7,72000600,270111000
2017-08-22,2.72,2.72,2.22,2.49,52091300,248527000
2017-08-23,2.47,2.96,2.47,2.58,64925100,258043000
2017-08-24,2.63,2.66,2.28,2.38,45080400,237932000
2017-08-25,2.39,2.73,2.39,2.5,49977600,249687000
2017-08-26,2.53,2.54,1.96,2.17,26690700,216936000
2017-08-27,2.18,2.31,1.86,2.01,17214900,200519000
2017-08-28,2.02,2.17,1.96,2.04,15413900,204290000
2017-08-29,2.11,2.33,1.99,2.33,20372000,232758000
2017-08-30,2.28,2.37,2.09,2.35,24830000,235005000
2017-08-31,2.33,2.41,2.2,2.2,20214800,220379000
2017-09-01,2.2,2.39,2.12,2.38,20990700,238417000
