Date,Open,High,Low,Close,Volume,MarketCap
2013-04-28,135.3,135.98,132.1,134.21,0,"1,488,566,728"
2013-04-29,134.44,147.49,134,144.54,0,"1,603,768,865"
2013-04-30,144,146.93,134.05,139,0,"1,542,813,125"
2013-05-01,139,139.89,107.72,116.99,0,"1,298,954,594"
2013-05-02,116.38,125.6,92.28,105.21,0,"1,168,517,495"
2013-05-03,106.25,108.13,79.1,97.75,0,"1,085,995,169"
2013-05-04,98.1,115,92.5,112.5,0,"1,250,316,563"
2013-05-05,112.9,118.8,107.14,115.91,0,"1,288,693,176"
2013-05-06,115.98,124.66,106.64,112.3,0,"1,249,023,060"
2013-05-07,112.25,113.44,97.7,111.5,0,"1,240,593,600"
2013-05-08,109.6,115.78,109.6,113.57,0,"1,264,049,202"
2013-05-09,113.2,113.46,109.26,112.67,0,"1,254,535,382"
2013-05-10,112.8,122,111.55,117.2,0,"1,305,479,080"
2013-05-11,117.7,118.68,113.01,115.24,0,"1,284,207,489"
2013-05-12,115.64,117.45,113.43,115,0,"1,281,982,625"
2013-05-13,114.82,118.7,114.5,117.98,0,"1,315,710,011"
2013-05-14,117.98,119.8,110.25,111.5,0,"1,243,874,488"
2013-05-15,111.4,115.81,103.5,114.22,0,"1,274,623,813"
2013-05-16,114.22,118.76,112.2,118.76,0,"1,325,726,787"
2013-05-17,118.21,125.3,116.57,123.01,0,"1,373,723,882"
2013-05-18,123.5,125.25,122.3,123.5,0,"1,379,574,546"
2013-05-19,123.21,124.5,119.57,121.99,0,"1,363,204,703"
2013-05-20,122.5,123.62,120.12,122,0,"1,363,709,900"
2013-05-21,122.02,123,121.21,122.88,0,"1,374,013,440"
2013-05-22,122.89,124,122,123.89,0,"1,385,778,993"
2013-05-23,123.8,126.93,123.1,126.7,0,"1,417,769,833"
2013-05-24,126.3,133.85,125.72,133.2,0,"1,491,070,770"
2013-05-25,133.1,133.22,128.9,131.98,0,"1,477,958,233"
2013-05-26,131.99,136,130.62,133.48,0,"1,495,293,015"
2013-05-27,133.5,135.46,124.7,129.74,0,"1,454,029,510"
2013-05-28,129.77,130.58,125.6,129,0,"1,446,189,975"
2013-05-29,129,132.59,127.66,132.3,0,"1,483,734,578"
2013-05-30,132.25,132.25,127,128.8,0,"1,445,053,941"
2013-05-31,128.8,129.9,126.4,129,0,"1,447,870,200"
2013-06-01,128.82,129.78,127.2,129.3,0,"1,451,916,165"
2013-06-02,129.3,129.4,115.05,122.29,0,"1,373,837,500"
2013-06-03,122.5,122.5,116,122.22,0,"1,373,708,058"
2013-06-04,120.74,123.84,119.1,121.42,0,"1,365,337,545"
2013-06-05,121.4,123.47,119.9,121.65,0,"1,368,486,469"
2013-06-06,121.9,123.1,117.25,118,0,"1,327,960,200"
2013-06-07,118.97,119,106.42,111.5,0,"1,255,258,638"
2013-06-08,111,111.42,107.3,108.3,0,"1,219,717,920"
2013-06-09,107.89,108.99,88.5,100,0,"1,126,642,500"
2013-06-10,100.44,110.1,95,106.35,0,"1,198,638,945"
2013-06-11,106.35,109.6,104,108.9,0,"1,227,874,725"
2013-06-12,109,111.79,106.73,108.15,0,"1,219,969,853"
2013-06-13,108.78,110.3,100.53,104,0,"1,173,637,400"
2013-06-14,103.95,104.7,98,99.98,0,"1,128,709,292"
2013-06-15,100,103.7,98,99.99,0,"1,129,245,604"
2013-06-16,99.8,101.6,98.95,99.51,0,"1,124,306,272"
2013-06-17,99.9,102.21,99,101.7,0,"1,149,418,485"
2013-06-18,101.95,111.11,101.03,107.4,0,"1,214,216,070"
2013-06-19,107.05,110.22,105.75,108.25,0,"1,224,193,838"
2013-06-20,108.25,114.3,107.5,110.15,0,"1,246,104,920"
2013-06-21,111.29,114.99,107.68,109.5,0,"1,239,214,238"
2013-06-22,109.5,109.96,107.51,108.3,0,"1,226,110,328"
2013-06-23,108.2,108.8,106.23,107.6,0,"1,218,626,490"
2013-06-24,107.9,108.33,100.98,102.74,0,"1,163,935,726"
2013-06-25,102.09,106.47,101.01,103.95,0,"1,178,086,140"
2013-06-26,103.33,105.49,102.79,104,0,"1,179,105,200"
2013-06-27,104,104,101.1,101.44,0,"1,150,468,023"
2013-06-28,101.74,101.74,92.33,94.65,0,"1,073,887,457"
2013-06-29,94.66,99.99,93,94.99,0,"1,078,198,524"
2013-06-30,95,98.12,94.22,96.61,0,"1,096,957,771"
2013-07-01,97.51,97.66,86.3,88.05,0,"1,000,065,296"
2013-07-02,88.05,92.3,87.51,90.13,0,"1,024,082,228"
2013-07-03,90.4,90.98,76.98,77.53,0,"881,233,116"
2013-07-04,78.89,83.11,72,80.53,0,"915,618,609"
2013-07-05,79.99,80,65.53,68.43,0,"778,411,179"
2013-07-06,68.5,75,66.82,70.28,0,"799,741,619"
2013-07-07,68.75,74.56,66.62,74.56,0,"848,838,979"
2013-07-08,76.5,80,72.6,76.52,0,"871,457,940"
2013-07-09,76,78.3,72.52,76.69,0,"873,841,849"
2013-07-10,76.72,87,76.2,86.76,0,"988,957,719"
2013-07-11,88,90.28,85.08,88.98,0,"1,014,650,063"
2013-07-12,88.98,104,88.17,93.59,0,"1,067,634,684"
2013-07-13,93.99,98.25,88.06,98.13,0,"1,119,796,120"
2013-07-14,98.7,98.7,92.86,94.69,0,"1,080,917,760"
2013-07-15,93.61,101.9,93.11,98.4,0,"1,123,658,944"
2013-07-16,98.89,99.86,96.14,97.45,0,"1,113,217,032"
2013-07-17,96.71,99.97,96.18,98.5,0,"1,125,658,000"
2013-07-18,98.5,98.8,86.2,90.58,0,"1,035,512,825"
2013-07-19,90.07,95.2,87.8,92.17,0,"1,054,083,771"
2013-07-20,92,93.1,89.27,89.39,0,"1,022,707,665"
2013-07-21,89.82,91.95,88,90.76,0,"1,038,798,980"
2013-07-22,92,92,90.08,91.61,0,"1,048,939,081"
2013-07-23,91.6,96.82,91.6,95.56,0,"1,094,484,058"
2013-07-24,95.56,95.99,93,94.51,0,"1,082,848,325"
2013-07-25,94.5,97.33,93.87,96.9,0,"1,110,587,858"
2013-07-26,96.95,97.47,96,96.02,0,"1,100,902,800"
2013-07-27,96.02,97,93,94.12,0,"1,079,491,697"
2013-07-28,94.4,100.58,94,99.76,0,"1,144,602,838"
2013-07-29,98.6,102.5,98.46,101.2,0,"1,161,619,140"
2013-07-30,101.49,107.99,100.47,107.99,0,"1,240,092,366"
2013-07-31,107.95,111.34,103.88,106.09,0,"1,218,777,834"
2013-08-01,106.21,108,103.01,104,0,"1,195,225,200"
2013-08-02,104.86,108,101.21,104.5,0,"1,201,487,185"
2013-08-03,104.5,105.78,102,104,0,"1,196,226,508"
2013-08-04,104.95,105.95,103.52,105.14,0,"1,209,797,378"
