Date,Open,High,Low,Close,Volume,MarketCap
2022-09-13,1713.96,1745.78,1564.03,1580.79,23066821734,1.93422E+11
2022-09-12,1762.08,1778.16,1698.29,1713.77,17688391310,2.0967E+11
2022-09-11,1775.98,1782.73,1730.16,1761.8,12464301922,2.15524E+11
2022-09-10,1718.96,1784.5,1710.3,1776.2,13130928217,2.17263E+11
2022-09-09,1635.19,1735.81,1632.84,1719.09,20242323690,2.10255E+11
2022-09-08,1629.81,1655.06,1603.06,1635.35,17621046717,1.99993E+11
2022-09-07,1560.91,1651.05,1500.01,1629.91,19560363854,1.99306E+11
2022-09-06,1617.24,1680.6,1561.75,1561.75,22946059125,1.9095E+11
2022-09-05,1577.88,1621.66,1559.78,1617.18,13060541168,1.97708E+11
2022-09-04,1556.9,1578.01,1543.7,1577.64,8884144998,1.92853E+11
2022-09-03,1577.21,1579.45,1541.67,1556.87,9516825994,1.90294E+11
2022-09-02,1586.02,1643.18,1551.88,1577.22,17708478709,1.92761E+11
2022-09-01,1553.76,1593.08,1520.19,1586.18,16434276817,1.93834E+11
2022-08-31,1524.29,1612.36,1524.29,1553.68,20591680941,1.89844E+11
2022-08-30,1553.19,1600.46,1480.83,1523.84,21835784470,1.86177E+11
2022-08-29,1430.44,1556.31,1427.73,1553.04,17965837488,1.89722E+11
2022-08-28,1491.21,1505.79,1430.55,1430.55,12823572918,1.74741E+11
2022-08-27,1508.16,1517.15,1454.28,1491.4,18120831899,1.82154E+11
2022-08-26,1696.32,1698.56,1498.77,1507.78,26713710143,1.84136E+11
2022-08-25,1657.34,1718.18,1656.86,1696.46,14818795695,2.07156E+11
2022-08-24,1662.7,1686.56,1610.1,1657.06,16780932907,2.02323E+11
2022-08-23,1622.94,1666.68,1569.43,1662.77,18322041914,2.02999E+11
2022-08-22,1619.17,1622.78,1535.01,1622.51,18557078599,1.98061E+11
2022-08-21,1576.54,1640.94,1569.05,1619.32,15849221752,1.97651E+11
2022-08-20,1612.65,1652.22,1534.3,1577,18334580263,1.92465E+11
2022-08-19,1847.1,1847.1,1611.34,1612.99,25906358731,1.96835E+11
2022-08-18,1833.72,1876.38,1826.96,1847.01,14999352229,2.25369E+11
2022-08-17,1877.93,1951.68,1823.53,1833,20308508124,2.23635E+11
2022-08-16,1902.83,1910.75,1862.27,1878.14,15637578930,2.29118E+11
2022-08-15,1936.76,2007.21,1881.86,1904.23,20349931313,2.32275E+11
2022-08-14,1981.78,2022.79,1919.01,1936.8,14062754456,2.36223E+11
2022-08-13,1957.33,2013.76,1948.6,1981.34,16038975216,2.41628E+11
2022-08-12,1880.9,1957.55,1860.08,1957.25,17168141904,2.38664E+11
2022-08-11,1851.83,1927.94,1851.83,1881.22,23826986482,2.29369E+11
2022-08-10,1702.91,1869.4,1665.09,1851.74,23512477984,2.2575E+11
2022-08-09,1776.07,1786.12,1675.85,1703.03,16368619692,2.07597E+11
2022-08-08,1699.69,1806.89,1697.41,1775.52,16841424404,2.1641E+11
2022-08-07,1691.78,1724.79,1672.91,1699.35,10252090340,2.07104E+11
2022-08-06,1732.66,1744.33,1691.66,1691.66,11757911705,2.06143E+11
2022-08-05,1607.52,1732.25,1606.5,1732.25,18546491876,2.11067E+11
2022-08-04,1618.89,1658.51,1585.33,1608.21,14467440626,1.9593E+11
2022-08-03,1633.05,1678.1,1595.63,1618.87,16786218830,1.97209E+11
2022-08-02,1634.65,1672.63,1567.85,1632.95,20426082309,1.98901E+11
2022-08-01,1681.45,1700.17,1613.42,1635.2,16191371176,1.99153E+11
2022-07-31,1695.88,1745.88,1672.61,1681.52,14200735370,2.04772E+11
2022-07-30,1727.06,1738.02,1678.11,1695.97,15576977870,2.06509E+11
2022-07-29,1725.62,1759.88,1662.79,1727.41,23249531113,2.10313E+11
2022-07-28,1636.23,1774.58,1604.89,1725.47,27231399966,2.1005E+11
2022-07-27,1443.73,1636.8,1423.62,1636.23,23007524016,1.99169E+11
2022-07-26,1445.15,1445.15,1362.95,1441.81,18238563509,1.75483E+11
2022-07-25,1599.16,1605.34,1445.38,1445.38,20585056021,1.75899E+11
2022-07-24,1549.22,1654.43,1548.67,1599.48,17217849557,1.9463E+11
2022-07-23,1536.46,1591.63,1495.68,1549.3,14998811383,1.88503E+11
2022-07-22,1576.75,1641.21,1523.64,1537.41,18926100582,1.87036E+11
2022-07-21,1520.37,1595.76,1472.19,1576.75,20009556587,1.91801E+11
2022-07-20,1542.95,1612.65,1500.8,1520.2,22942708340,1.84901E+11
2022-07-19,1578.38,1607.03,1501.8,1542.98,27753529276,1.87651E+11
2022-07-18,1338.81,1578.72,1338.81,1578.72,27440420623,1.91976E+11
2022-07-17,1353.21,1378.42,1329.76,1338.64,16079711737,1.62763E+11
2022-07-16,1232.79,1377.94,1195.61,1352.63,18364013796,1.64446E+11
2022-07-15,1191.67,1275.78,1182.9,1233.13,17411448225,1.49902E+11
2022-07-14,1113.52,1202.95,1077.41,1191.53,16688640823,1.44828E+11
2022-07-13,1038.19,1113.59,1019.22,1113.59,18302588147,1.35338E+11
2022-07-12,1097.26,1097.26,1038.14,1038.19,12583282453,1.26163E+11
2022-07-11,1168.14,1169.19,1095,1097.24,12064180410,1.33323E+11
2022-07-10,1216.9,1216.9,1157.18,1168.4,10984558039,1.41954E+11
2022-07-09,1222.31,1228.77,1209.38,1216.98,8821353104,1.47839E+11
2022-07-08,1237.58,1262.89,1200.63,1222.51,16315929082,1.48495E+11
2022-07-07,1186.96,1246.89,1165.62,1237.59,14230795894,1.5031E+11
2022-07-06,1134.82,1193.64,1116.25,1186.97,15373536703,1.44147E+11
2022-07-05,1150.51,1165.68,1086.83,1134.54,16195518291,1.37764E+11
2022-07-04,1073.79,1152.94,1048.4,1151.06,13670889311,1.39754E+11
2022-07-03,1066.47,1083.42,1044.01,1073.77,8557248150,1.30355E+11
2022-07-02,1060.12,1073.05,1033.96,1066.51,9935603640,1.2946E+11
2022-07-01,1068.32,1100.22,1040.15,1059.77,17499453625,1.28626E+11
2022-06-30,1099.35,1103.69,1009.09,1067.3,16350755497,1.29526E+11
2022-06-29,1144.52,1152.68,1092.1,1098.94,15386286815,1.33354E+11
2022-06-28,1193.25,1229.74,1141.16,1144.58,14023205651,1.38879E+11
2022-06-27,1199.71,1234.18,1179.79,1193.68,12492225250,1.44823E+11
2022-06-26,1242.99,1272.13,1199.41,1199.83,12096607824,1.45556E+11
2022-06-25,1226.72,1246.39,1184.56,1243.45,12481946184,1.50834E+11
2022-06-24,1143.2,1238.62,1134.51,1226.84,16981552654,1.48806E+11
2022-06-23,1051.33,1146.49,1050.22,1143.39,14657862919,1.3867E+11
2022-06-22,1125.37,1126.26,1049.76,1051.42,15010593493,1.27505E+11
2022-06-21,1127.51,1185.43,1112.57,1124.82,15632089439,1.36394E+11
2022-06-20,1127.66,1159.99,1066.11,1127.64,19739691429,1.36723E+11
2022-06-19,993.4,1142.34,943.12,1127.66,21795481981,1.36711E+11
2022-06-18,1086.38,1095.17,896.11,993.64,21655406608,1.20451E+11
2022-06-17,1067.99,1112.47,1060.87,1086.52,14591486540,1.31697E+11
2022-06-16,1233.6,1246.14,1058.78,1067.73,18907671369,1.29407E+11
2022-06-15,1211.37,1236.63,1025.68,1233.21,37539999450,1.49447E+11
2022-06-14,1204.56,1252.47,1094.7,1211.66,33327826525,1.46822E+11
2022-06-13,1443.84,1448.74,1181.95,1204.58,45162788786,1.45949E+11
2022-06-12,1530.19,1539.71,1436.18,1445.22,23465074882,1.75087E+11
2022-06-11,1665.22,1679.31,1507.04,1529.66,21127089064,1.85299E+11
2022-06-10,1789.69,1797.61,1663.43,1665.04,18504740451,2.01678E+11
2022-06-09,1793.51,1827.29,1779.87,1789.83,12013083393,2.1677E+11
