Date,Open,High,Low,Close,Volume,MarketCap
2013-08-04,0.005874,0.005927,0.005874,0.005882,0,"45,983,577"
2013-08-05,0.005875,0.00598,0.005613,0.005613,0,"43,879,157"
2013-08-06,0.005637,0.005661,0.004629,0.00468,0,"36,591,008"
2013-08-07,0.004669,0.004682,0.004333,0.004417,0,"34,534,121"
2013-08-08,0.004397,0.004424,0.004175,0.004254,0,"33,258,632"
2013-08-09,0.004257,0.004367,0.004253,0.004291,0,"33,547,503"
2013-08-10,0.004291,0.004366,0.004279,0.004314,0,"33,724,969"
2013-08-11,0.004314,0.004421,0.0043,0.004415,0,"34,518,485"
2013-08-12,0.004414,0.00452,0.004359,0.004449,0,"34,778,195"
2013-08-13,0.004463,0.004463,0.004171,0.004245,0,"33,190,304"
2013-08-14,0.004267,0.004267,0.003785,0.003788,0,"29,617,450"
2013-08-15,0.003788,0.003804,0.003067,0.003092,0,"24,172,681"
2013-08-16,0.003082,0.003162,0.002875,0.003134,0,"24,497,514"
2013-08-17,0.003138,0.005683,0.003138,0.005671,0,"44,335,331"
2013-08-18,0.005687,0.006263,0.005585,0.005617,0,"43,916,527"
2013-08-19,0.005587,0.005839,0.005223,0.00526,0,"41,125,306"
2013-08-20,0.005376,0.006158,0.005309,0.006098,0,"47,673,883"
2013-08-21,0.006098,0.006349,0.00595,0.006131,0,"47,928,746"
2013-08-22,0.006131,0.006138,0.005143,0.005143,0,"40,205,218"
2013-08-23,0.005179,0.005232,0.004919,0.005139,0,"40,172,930"
2013-08-24,0.005139,0.005603,0.005126,0.005546,0,"43,357,939"
2013-08-25,0.005526,0.006148,0.005519,0.006104,0,"47,719,539"
2013-08-26,0.006104,0.006507,0.006065,0.006417,0,"50,166,773"
2013-08-27,0.006468,0.006936,0.006373,0.006452,0,"50,441,338"
2013-08-28,0.006451,0.006463,0.006066,0.006246,0,"48,830,305"
2013-08-29,0.006246,0.006246,0.005756,0.005763,0,"45,051,372"
2013-08-30,0.00576,0.006264,0.00561,0.00593,0,"46,362,745"
2013-08-31,0.005913,0.006081,0.005576,0.005632,0,"44,028,635"
2013-09-01,0.005623,0.005872,0.005574,0.005787,0,"45,239,783"
2013-09-02,0.005799,0.006115,0.005507,0.005528,0,"43,216,200"
2013-09-03,0.005518,0.005693,0.005405,0.00567,0,"44,326,106"
2013-09-04,0.00566,0.006276,0.005507,0.005695,0,"44,522,804"
2013-09-05,0.005696,0.005991,0.005474,0.005715,0,"44,677,286"
2013-09-06,0.005717,0.006151,0.005627,0.005866,0,"45,856,302"
2013-09-07,0.005853,0.00627,0.005832,0.006173,0,"48,259,599"
2013-09-08,0.006172,0.006304,0.00612,0.006183,0,"48,338,325"
2013-09-09,0.006193,0.006552,0.006079,0.00627,0,"49,018,247"
2013-09-10,0.006278,0.006332,0.005807,0.005808,0,"45,404,897"
2013-09-11,0.005807,0.006393,0.005698,0.006273,0,"49,043,421"
2013-09-12,0.006287,0.006442,0.006008,0.006349,0,"49,632,890"
2013-09-13,0.006334,0.00672,0.006316,0.006513,0,"50,918,776"
2013-09-14,0.006515,0.00655,0.006288,0.00634,0,"49,564,170"
2013-09-15,0.006349,0.006516,0.006349,0.006472,0,"50,595,585"
2013-09-16,0.006496,0.00708,0.006244,0.007056,0,"55,164,281"
2013-09-17,0.007086,0.009658,0.007058,0.009613,0,"75,152,827"
2013-09-18,0.009617,0.01087,0.009595,0.01078,0,"84,291,706"
2013-09-19,0.01077,0.01115,0.01077,0.01096,0,"85,666,873"
2013-09-20,0.01096,0.01114,0.01008,0.01011,0,"79,063,101"
2013-09-21,0.01011,0.01012,0.009643,0.0097,0,"75,835,642"
2013-09-22,0.009734,0.01055,0.009689,0.01041,0,"81,353,743"
2013-09-23,0.01039,0.0107,0.009995,0.01001,0,"78,239,096"
2013-09-24,0.01002,0.01047,0.01001,0.01045,0,"81,684,440"
2013-09-25,0.01046,0.01073,0.01043,0.01043,0,"81,563,262"
2013-09-26,0.01043,0.01209,0.01043,0.01171,0,"91,574,070"
2013-09-27,0.01176,0.01467,0.01176,0.01457,0,"113,875,383"
2013-09-28,0.01497,0.01497,0.01378,0.01384,0,"108,162,069"
2013-09-29,0.01385,0.01425,0.01286,0.01287,0,"100,599,042"
2013-09-30,0.01285,0.01285,0.01054,0.01093,0,"85,467,517"
2013-10-01,0.01091,0.01245,0.01052,0.01053,0,"82,312,216"
2013-10-02,0.01052,0.01052,0.007146,0.007862,0,"61,466,360"
2013-10-03,0.007779,0.009112,0.007707,0.009112,0,"71,234,188"
2013-10-04,0.008922,0.01001,0.008922,0.009873,0,"77,187,120"
2013-10-05,0.009676,0.00975,0.00912,0.009488,0,"74,176,060"
2013-10-06,0.009474,0.0106,0.009474,0.009819,0,"76,764,407"
2013-10-07,0.009669,0.009669,0.009197,0.00924,0,"72,233,940"
2013-10-08,0.009225,0.009749,0.009114,0.009451,0,"73,884,453"
2013-10-09,0.009439,0.009747,0.009391,0.009663,0,"75,545,285"
2013-10-10,0.009662,0.01011,0.009622,0.009861,0,"77,089,631"
2013-10-11,0.009884,0.009893,0.008917,0.00897,0,"70,127,097"
2013-10-12,0.008912,0.009408,0.008485,0.009382,0,"73,347,833"
2013-10-13,0.009382,0.00941,0.008184,0.008412,0,"65,761,509"
2013-10-14,0.008485,0.00876,0.008401,0.008489,0,"66,366,536"
2013-10-15,0.008504,0.008504,0.007935,0.008051,0,"62,941,909"
2013-10-16,0.008068,0.008131,0.007177,0.007305,0,"57,107,730"
2013-10-17,0.007298,0.008415,0.007287,0.008343,0,"65,224,107"
2013-10-18,0.00835,0.008432,0.007646,0.007942,0,"62,093,355"
2013-10-19,0.00794,0.008024,0.006779,0.007252,0,"56,694,711"
2013-10-20,0.00722,0.00757,0.006583,0.0067,0,"52,377,125"
2013-10-21,0.006707,0.006932,0.006614,0.006634,0,"51,865,992"
2013-10-22,0.00665,0.006954,0.006527,0.006845,0,"53,516,426"
2013-10-23,0.006829,0.007873,0.006795,0.007873,0,"61,551,184"
2013-10-24,0.007906,0.008813,0.006501,0.008596,0,"67,201,721"
2013-10-25,0.00857,0.008746,0.006506,0.00686,0,"53,632,209"
2013-10-26,0.006888,0.006888,0.00599,0.006064,0,"47,410,889"
2013-10-27,0.00604,0.006842,0.00604,0.006842,0,"53,493,207"
2013-10-28,0.006834,0.006834,0.005942,0.005942,0,"46,453,823"
2013-10-29,0.005942,0.006,0.005811,0.005998,0,"46,892,407"
2013-10-30,0.006014,0.006209,0.005797,0.005854,0,"45,768,350"
2013-10-31,0.005853,0.006093,0.005823,0.006073,0,"47,476,950"
2013-11-01,0.006075,0.006356,0.006024,0.006353,0,"49,670,963"
2013-11-02,0.006346,0.006849,0.006219,0.006814,0,"53,274,385"
2013-11-03,0.006807,0.007383,0.006763,0.00716,0,"55,978,045"
2013-11-04,0.007147,0.00745,0.006908,0.007011,0,"54,811,929"
2013-11-05,0.007014,0.007305,0.006472,0.00715,0,"55,899,163"
2013-11-06,0.007137,0.007832,0.007137,0.007776,0,"60,789,253"
2013-11-07,0.007751,0.009046,0.007749,0.008939,0,"69,883,022"
2013-11-08,0.008983,0.01078,0.008965,0.01072,0,"83,819,505"
2013-11-09,0.01068,0.01113,0.008403,0.008653,0,"67,644,526"
2013-11-10,0.008859,0.008907,0.007052,0.008609,0,"67,307,340"
2013-11-11,0.008595,0.009302,0.008238,0.008681,0,"67,866,007"
2013-11-12,0.008697,0.009568,0.008675,0.009557,0,"74,713,696"
2013-11-13,0.009578,0.01167,0.009564,0.01085,0,"84,792,051"
2013-11-14,0.01082,0.01119,0.009305,0.009646,0,"75,413,554"
2013-11-15,0.009628,0.01012,0.009221,0.009685,0,"75,714,152"
2013-11-16,0.009669,0.01043,0.00963,0.01014,0,"79,270,275"
2013-11-17,0.01016,0.01067,0.00998,0.01021,0,"79,811,273"
2013-11-18,0.0103,0.01172,0.009035,0.01092,0,"85,352,594"
2013-11-19,0.0106,0.01188,0.005561,0.007225,0,"56,486,365"
2013-11-20,0.007134,0.007547,0.005686,0.007467,0,"58,373,838"
2013-11-21,0.007511,0.01008,0.007296,0.009935,0,"77,672,768"
2013-11-22,0.009958,0.00998,0.008596,0.009717,0,"75,969,562"
2013-11-23,0.009555,0.01055,0.009555,0.009798,0,"76,595,853"
2013-11-24,0.009773,0.01181,0.009064,0.01167,0,"91,218,356"
2013-11-25,0.01174,0.01844,0.01174,0.01821,0,"142,348,137"
2013-11-26,0.01886,0.03039,0.01876,0.02991,0,"233,852,628"
2013-11-27,0.02999,0.02999,0.02235,0.0241,0,"188,378,309"
2013-11-28,0.02788,0.03011,0.02784,0.02898,0,"226,572,609"
2013-11-29,0.02926,0.03156,0.02837,0.03099,0,"242,247,478"
2013-11-30,0.0309,0.03839,0.03034,0.03839,0,"300,099,081"
2013-12-01,0.03916,0.05503,0.03916,0.0515,0,"402,593,962"
2013-12-02,0.05238,0.06127,0.05214,0.05525,0,"431,954,829"
2013-12-03,0.05541,0.05541,0.04808,0.04867,0,"380,509,987"
2013-12-04,0.04855,0.05885,0.04826,0.05869,0,"458,848,369"
2013-12-05,0.05877,0.06144,0.04892,0.05515,0,"431,179,294"
2013-12-06,0.05501,0.05501,0.04221,0.04221,0,"330,004,855"
2013-12-07,0.04221,0.04359,0.03125,0.03307,0,"258,510,253"
2013-12-08,0.03276,0.03687,0.03159,0.03646,0,"285,005,081"
2013-12-09,0.03636,0.04149,0.0357,0.03893,0,"304,352,013"
2013-12-10,0.03889,0.04417,0.03889,0.04378,0,"342,296,141"
2013-12-11,0.04382,0.04434,0.03632,0.03794,0,"296,590,412"
2013-12-12,0.03812,0.03883,0.03424,0.03465,0,"270,892,227"
2013-12-13,0.03465,0.0369,0.03392,0.03515,0,"274,760,519"
2013-12-14,0.03543,0.03543,0.03194,0.03194,0,"249,707,309"
2013-12-15,0.03204,0.03204,0.02841,0.02914,0,"227,789,073"
2013-12-16,0.02921,0.02928,0.02086,0.02156,0,"168,589,666"
2013-12-17,0.0214,0.02161,0.01804,0.01831,0,"143,170,579"
2013-12-18,0.01797,0.01857,0.01233,0.01585,0,"123,933,098"
2013-12-19,0.01578,0.02155,0.01531,0.02107,0,"164,747,173"
2013-12-20,0.02114,0.02328,0.01985,0.02085,0,"163,010,820"
2013-12-21,0.02098,0.02257,0.0203,0.02168,0,"169,521,559"
2013-12-22,0.02157,0.02384,0.02096,0.02172,0,"169,773,295"
2013-12-23,0.02157,0.02396,0.02149,0.0237,0,"185,301,187"
2013-12-24,0.0237,0.02412,0.02231,0.02257,0,"176,487,298"
2013-12-25,0.0226,0.0226,0.02143,0.02204,0,"172,318,800"
2013-12-26,0.0221,0.02489,0.0221,0.02438,0,"190,638,461"
2013-12-27,0.02443,0.02712,0.02353,0.02708,"148,422","211,674,057"
2013-12-28,0.02755,0.02811,0.02663,0.0273,"143,404","213,453,409"
2013-12-29,0.02731,0.02754,0.02663,0.02722,"56,772","212,784,197"
2013-12-30,0.02706,0.02775,0.02698,0.02746,"72,634","214,680,817"
2013-12-31,0.02767,0.02774,0.02702,0.02733,"63,621","213,663,710"
2014-01-01,0.02737,0.02781,0.02681,0.02694,"58,533","210,649,132"
2014-01-02,0.02701,0.02943,0.02644,0.02873,"128,914","224,573,575"
2014-01-03,0.02879,0.02902,0.02732,0.02763,"89,780","215,987,968"
2014-01-04,0.02778,0.02837,0.02679,0.02813,"60,973","219,911,767"
2014-01-05,0.0281,0.02967,0.02489,0.02523,"200,438","197,241,451"
2014-01-06,0.0253,0.02738,0.02428,0.0257,"184,478","200,922,113"
2014-01-07,0.0258,0.02641,0.02299,0.02299,"73,761","179,703,578"
2014-01-08,0.02282,0.02472,0.02226,0.02323,"82,941","181,589,253"
2014-01-09,0.023,0.02338,0.02119,0.02237,"100,357","174,873,686"
2014-01-10,0.02237,0.0229,0.02174,0.02284,"64,111","178,540,276"
2014-01-11,0.02272,0.02423,0.02258,0.02402,"70,390","187,776,331"
2014-01-12,0.02416,0.0244,0.02204,0.02204,"42,581","172,333,654"
2014-01-13,0.02196,0.02199,0.02066,0.02166,"15,328","169,369,892"
2014-01-14,0.02172,0.022,0.02103,0.02119,"41,916","165,628,250"
2014-01-15,0.02118,0.02239,0.02112,0.02222,"25,189","173,722,111"
2014-01-16,0.02221,0.02234,0.02102,0.02102,"58,851","164,360,188"
2014-01-17,0.02099,0.02115,0.0201,0.02053,"72,572","160,498,932"
2014-01-18,0.02056,0.02137,0.02056,0.02128,"21,242","166,352,968"
2014-01-19,0.02131,0.02142,0.02033,0.02088,"69,842","163,201,577"
2014-01-20,0.02089,0.02104,0.01962,0.01986,"67,712","155,234,365"
2014-01-21,0.01985,0.02018,0.01964,0.01993,"82,453","155,789,435"
2014-01-22,0.01999,0.02002,0.01923,0.01939,"60,703","151,577,938"
2014-01-23,0.01939,0.01946,0.01847,0.01853,"106,755","144,900,678"
2014-01-24,0.01852,0.01852,0.01771,0.01813,"136,622","141,707,852"
2014-01-25,0.01811,0.01935,0.01804,0.01914,"75,029","149,645,356"
2014-01-26,0.01913,0.02025,0.01897,0.02013,"77,411","157,362,395"
2014-01-27,0.02011,0.02053,0.01859,0.01897,"124,685","148,278,789"
2014-01-28,0.01936,0.0211,0.01936,0.02061,"100,169","161,089,965"
2014-01-29,0.02054,0.02065,0.02002,0.02034,"73,134","158,990,079"
2014-01-30,0.02033,0.02062,0.0199,0.02034,"90,862","158,989,298"
2014-01-31,0.02032,0.02058,0.02012,0.0205,"98,529","160,298,012"
2014-02-01,0.02052,0.02114,0.02043,0.0207,"123,949","161,815,465"
2014-02-02,0.02074,0.02188,0.02073,0.02156,"112,301","168,555,267"
2014-02-03,0.02153,0.02165,0.02118,0.0214,"74,739","167,314,568"
2014-02-04,0.0214,0.02159,0.02097,0.021,"75,453","164,155,359"
2014-02-05,0.02105,0.02107,0.02036,0.02036,"54,085","159,150,346"
2014-02-06,0.02045,0.02065,0.01942,0.01975,"97,667","154,422,868"
2014-02-07,0.01978,0.01978,0.01661,0.01838,"153,029","143,672,488"
2014-02-08,0.01805,0.01861,0.01717,0.01749,"54,013","136,709,875"
2014-02-09,0.01742,0.01831,0.017,0.01739,"64,662","135,951,540"
2014-02-10,0.01736,0.0183,0.01348,0.01668,"38,466","130,375,039"
2014-02-11,0.01817,0.0185,0.01577,0.01768,"63,155","138,231,237"
2014-02-12,0.0177,0.01783,0.01554,0.01717,"67,226","134,262,876"
2014-02-13,0.01716,0.01723,0.01454,0.01608,"64,399","125,701,505"
2014-02-14,0.01606,0.01714,0.01404,0.01637,"126,825","127,953,057"
2014-02-15,0.01651,0.01651,0.01571,0.01608,"82,831","125,731,994"
2014-02-16,0.01609,0.01645,0.01467,0.01534,"80,122","119,913,139"
2014-02-17,0.01529,0.01596,0.01509,0.01529,"110,878","119,562,898"
2014-02-18,0.01531,0.0157,0.01499,0.01529,"152,124","119,505,045"
2014-02-19,0.01524,0.01561,0.01506,0.01524,"106,281","119,121,969"
2014-02-20,0.0152,0.01549,0.01417,0.01425,"217,393","111,415,875"
2014-02-21,0.0143,0.0152,0.01373,0.01507,"124,321","117,817,163"
2014-02-22,0.0151,0.01574,0.01458,0.01568,"88,006","122,597,021"
2014-02-23,0.01561,0.01608,0.01535,0.01541,"103,944","120,487,754"
2014-02-24,0.01541,0.01554,0.01359,0.01359,"141,564","106,241,995"
2014-02-25,0.0136,0.01367,0.01084,0.01299,"293,736","101,551,261"
2014-02-26,0.01302,0.01418,0.01302,0.01409,"70,979","110,177,521"
2014-02-27,0.01412,0.01434,0.01369,0.01415,"101,022","110,647,376"
2014-02-28,0.01412,0.01431,0.01358,0.01367,"166,863","106,843,191"
2014-03-01,0.01369,0.01399,0.01348,0.0138,"111,575","107,881,407"
2014-03-02,0.01379,0.01379,0.01334,0.01354,"62,982","105,880,027"
2014-03-03,0.01359,0.01572,0.01336,0.0156,"127,717","121,931,718"
2014-03-04,0.01531,0.01821,0.01513,0.01613,"179,747","126,138,525"
2014-03-05,0.016,0.01615,0.01543,0.01601,"122,347","125,151,907"
2014-03-06,0.01599,0.01612,0.01564,0.01592,"142,277","124,468,623"
2014-03-07,0.01593,0.01602,0.01481,0.01501,"169,553","117,338,708"
2014-03-08,0.01502,0.0151,0.01426,0.0144,"56,617","112,612,012"
2014-03-09,0.01445,0.0155,0.0142,0.01475,"47,281","115,276,349"
2014-03-10,0.01469,0.01501,0.01401,0.01475,"101,610","115,275,567"
2014-03-11,0.01477,0.01485,0.01403,0.01428,"33,228","111,631,648"
2014-03-12,0.0142,0.01518,0.01416,0.01435,"135,171","112,212,518"
2014-03-13,0.01438,0.01451,0.01424,0.01433,"57,138","112,055,378"
2014-03-14,0.01433,0.01437,0.01413,0.0142,"121,852","110,999,181"
2014-03-15,0.01421,0.01444,0.01417,0.01434,"37,093","112,145,284"
2014-03-16,0.01436,0.01449,0.01421,0.01431,"82,339","111,843,513"
2014-03-17,0.0143,0.01436,0.01391,0.01411,"121,541","110,322,152"
2014-03-18,0.0141,0.01412,0.01366,0.01405,"87,514","109,841,352"
2014-03-19,0.01405,0.01424,0.01385,0.01396,"132,717","109,158,850"
2014-03-20,0.01394,0.01411,0.01356,0.01364,"162,797","106,621,163"
2014-03-21,0.01369,0.01388,0.01301,0.01325,"192,607","103,587,040"
2014-03-22,0.01325,0.01337,0.01289,0.01295,"137,122","101,272,163"
2014-03-23,0.01296,0.01307,0.01265,0.01265,"137,413","98,902,560"
2014-03-24,0.01267,0.01292,0.0123,0.01287,"115,538","100,627,187"
2014-03-25,0.01287,0.01292,0.0126,0.01283,"90,025","100,307,435"
2014-03-26,0.01282,0.01282,0.01253,0.01259,"154,104","98,456,159"
2014-03-27,0.01258,0.01258,0.01023,0.01023,"272,507","79,948,086"
2014-03-28,0.01032,0.01119,0.01015,0.01055,"220,765","82,488,901"
2014-03-29,0.01063,0.01063,0.01034,0.01034,"121,921","80,824,472"
2014-03-30,0.01036,0.01036,0.009281,0.009653,"177,965","75,463,510"
2014-03-31,0.009677,0.009903,0.0087,0.008785,"244,598","68,678,051"
2014-04-01,0.008785,0.009319,0.008588,0.008757,"172,709","68,458,134"
2014-04-02,0.008795,0.009021,0.007707,0.007922,"306,889","61,931,056"
2014-04-03,0.007901,0.008027,0.007176,0.007944,"172,873","62,108,287"
2014-04-04,0.007959,0.008265,0.007657,0.008094,"132,007","63,275,967"
2014-04-05,0.008076,0.008352,0.007894,0.008324,"73,596","65,075,567"
2014-04-06,0.00835,0.008365,0.008137,0.008247,"95,708","64,471,714"
2014-04-07,0.008263,0.008269,0.007995,0.008035,"62,187","62,814,321"
2014-04-08,0.008005,0.008189,0.00798,0.008013,"65,204","62,642,875"
2014-04-09,0.008014,0.008154,0.007818,0.007866,"221,844","61,493,410"
2014-04-10,0.007857,0.007936,0.006219,0.006318,"332,953","49,396,946"
2014-04-11,0.006296,0.007227,0.006064,0.006582,"345,888","51,456,022"
2014-04-12,0.006581,0.006746,0.006229,0.006257,"182,421","48,919,273"
2014-04-13,0.006271,0.006312,0.005784,0.005987,"153,005","46,807,035"
2014-04-14,0.005996,0.006603,0.005933,0.006518,"466,329","50,955,129"
2014-04-15,0.006513,0.007719,0.006375,0.007719,"274,616","60,350,200"
2014-04-16,0.007753,0.007857,0.00681,0.007023,"1,024,970","54,902,382"
2014-04-17,0.007101,0.007159,0.006199,0.006339,"261,187","49,554,476"
2014-04-18,0.006345,0.006392,0.006061,0.00621,"209,538","48,547,688"
2014-04-19,0.006209,0.00657,0.006146,0.006473,"207,541","50,604,732"
2014-04-20,0.006475,0.006555,0.006159,0.006214,"162,830","48,577,865"
2014-04-21,0.006206,0.006353,0.00612,0.006142,"172,813","48,015,525"
2014-04-22,0.006139,0.006237,0.006056,0.006059,"205,655","47,371,800"
2014-04-23,0.006064,0.006145,0.006032,0.00611,"248,284","47,768,870"
2014-04-24,0.006105,0.006105,0.005879,0.006069,"201,064","47,450,291"
2014-04-25,0.006069,0.006072,0.005234,0.005491,"115,698","42,927,017"
2014-04-26,0.005491,0.00557,0.005357,0.005394,"62,246","42,171,574"
2014-04-27,0.00538,0.005392,0.004859,0.004859,"183,777","37,983,608"
2014-04-28,0.004804,0.005182,0.004711,0.005139,"179,020","40,174,494"
2014-04-29,0.005136,0.005393,0.005136,0.005362,"66,925","41,918,040"
2014-04-30,0.005359,0.005415,0.005211,0.005364,"222,003","41,935,004"
2014-05-01,0.005364,0.005465,0.005334,0.005413,"167,861","42,319,410"
2014-05-02,0.005409,0.005495,0.005209,0.005315,"292,881","41,551,928"
2014-05-03,0.005315,0.005315,0.004948,0.005024,"78,782","39,275,593"
2014-05-04,0.005033,0.005053,0.004924,0.005024,"50,950","39,279,346"
2014-05-05,0.005007,0.005214,0.004951,0.005214,"184,156","40,766,308"
2014-05-06,0.005213,0.006248,0.005108,0.005973,"518,867","46,693,519"
2014-05-07,0.005974,0.006614,0.005957,0.006351,"566,819","49,653,607"
2014-05-08,0.006343,0.006421,0.006026,0.00608,"293,424","47,531,988"
2014-05-09,0.006061,0.006123,0.005974,0.006063,"234,478","47,399,240"
2014-05-10,0.006074,0.006098,0.005906,0.005975,"173,762","46,710,641"
2014-05-11,0.005942,0.005958,0.005689,0.005754,"120,923","44,981,558"
2014-05-12,0.005749,0.005949,0.005747,0.005937,"168,471","46,411,606"
2014-05-13,0.005937,0.00648,0.005908,0.00634,"331,979","49,564,405"
2014-05-14,0.006339,0.007704,0.006339,0.007154,"972,270","55,928,245"
2014-05-15,0.007172,0.007276,0.007015,0.007099,"367,672","55,495,760"
2014-05-16,0.0071,0.007116,0.006796,0.00691,"313,468","54,020,758"
2014-05-17,0.006901,0.006906,0.00648,0.006487,"248,157","50,712,697"
2014-05-18,0.006475,0.00649,0.005963,0.006004,"346,678","46,938,141"
2014-05-19,0.006,0.006037,0.005865,0.006034,"247,907","47,170,411"
2014-05-20,0.006045,0.006749,0.006036,0.006711,"395,587","52,468,986"
2014-05-21,0.006715,0.006805,0.006617,0.006669,"474,992","52,135,787"
2014-05-22,0.006676,0.006676,0.003978,0.003993,"2,846,750","31,220,117"
2014-05-23,0.003963,0.003976,0.003063,0.003315,"1,174,650","25,918,572"
2014-05-24,0.003332,0.004201,0.003103,0.004111,"1,111,310","32,136,452"
2014-05-25,0.004129,0.004325,0.003524,0.003646,"638,473","28,500,195"
2014-05-26,0.003668,0.003839,0.003641,0.003799,"464,861","29,698,834"
2014-05-27,0.003761,0.004643,0.003734,0.004643,"1,358,170","36,294,788"
2014-05-28,0.004659,0.005309,0.004488,0.005005,"1,550,580","39,130,024"
2014-05-29,0.005028,0.005068,0.00469,0.004791,"485,322","37,458,168"
2014-05-30,0.004767,0.004805,0.004138,0.004232,"166,638","33,082,573"
2014-05-31,0.004232,0.004424,0.004078,0.004146,"201,568","32,409,218"
2014-06-01,0.004145,0.004331,0.003922,0.004092,"246,244","31,988,929"
