Date,Open,High,Low,Close,Volume,MarketCap
2017-10-01,0.02168,0.03223,0.01735,0.02497,50068700,0
2017-10-02,0.02461,0.03009,0.01997,0.02593,57641300,628899052
2017-10-03,0.02576,0.02743,0.02069,0.02082,16997800,539692715
2017-10-04,0.02086,0.02281,0.02086,0.02193,9000050,568619548
2017-10-05,0.02195,0.02215,0.02086,0.02149,5562510,557139041
2017-10-06,0.02136,0.02154,0.01836,0.01854,7780710,480664553
2017-10-07,0.01841,0.02105,0.01762,0.02094,7411240,542936191
2017-10-08,0.02093,0.0236,0.02015,0.02048,7727460,530913809
2017-10-09,0.02034,0.02281,0.02034,0.02211,4663310,573343460
2017-10-10,0.02211,0.02245,0.02128,0.02153,2725600,558243534
2017-10-11,0.02148,0.02258,0.02098,0.02252,3606720,583864665
2017-10-12,0.02254,0.02676,0.02183,0.02625,8680640,680640048
2017-10-13,0.02606,0.03382,0.0252,0.03364,15613600,872212580
2017-10-14,0.03388,0.03827,0.02926,0.03246,27853200,841719752
2017-10-15,0.03287,0.03364,0.02869,0.03005,7104990,779072172
2017-10-16,0.02994,0.03075,0.02858,0.02895,6196030,750542023
2017-10-17,0.02895,0.02963,0.02548,0.02722,7039900,705670042
2017-10-18,0.02722,0.02736,0.02464,0.02669,2336180,692011662
2017-10-19,0.0267,0.02711,0.02577,0.02703,2897720,700857978
2017-10-20,0.02698,0.03086,0.02661,0.03063,8716410,794140985
2017-10-21,0.03081,0.03081,0.02798,0.02844,5344520,737267363
2017-10-22,0.02857,0.02874,0.02709,0.02773,2930210,718926554
2017-10-23,0.02768,0.02805,0.02434,0.02545,3517050,659937283
2017-10-24,0.02534,0.02896,0.02377,0.02719,7589560,705027051
2017-10-25,0.02704,0.02785,0.02611,0.02753,2561430,713707434
2017-10-26,0.02741,0.02756,0.02648,0.02713,2437710,703448092
2017-10-27,0.02714,0.02746,0.02567,0.02638,2511440,684002790
2017-10-28,0.02634,0.02685,0.02559,0.02587,1739460,670632199
2017-10-29,0.02583,0.02984,0.02563,0.02861,4746180,741693114
2017-10-30,0.02832,0.02887,0.02759,0.02858,3781270,741070864
2017-10-31,0.02855,0.03071,0.02808,0.03044,7304450,789155210
2017-11-01,0.02913,0.02922,0.02299,0.02299,9382780,595964829
2017-11-02,0.02308,0.02498,0.01821,0.02131,6165050,552399572
2017-11-03,0.02142,0.02321,0.01983,0.02263,2836080,586680345
2017-11-04,0.02264,0.02385,0.02197,0.02202,2626920,570968540
2017-11-05,0.02205,0.02301,0.02063,0.02063,2396230,535005101
2017-11-06,0.02098,0.02361,0.02053,0.02188,4591160,567310230
2017-11-07,0.02185,0.02335,0.02141,0.02219,2539540,575443552
2017-11-08,0.02191,0.02639,0.02166,0.02519,6367000,652999199
2017-11-09,0.02516,0.03506,0.02501,0.03205,18716200,831037799
2017-11-10,0.03222,0.03335,0.02645,0.02712,6766780,703121411
2017-11-11,0.02689,0.02966,0.02568,0.02744,5532220,711363627
2017-11-12,0.02748,0.02795,0.02259,0.02398,7280250,621653370
2017-11-13,0.02436,0.0263,0.02349,0.02581,4419440,669115466
2017-11-14,0.0258,0.02679,0.02534,0.02623,3033290,680069653
2017-11-15,0.02612,0.02777,0.02526,0.02644,6858800,685631010
2017-11-16,0.02658,0.02817,0.02565,0.02758,4888130,715068605
2017-11-17,0.02714,0.02744,0.02518,0.02577,3578870,668205425
2017-11-18,0.0256,0.02712,0.02475,0.02637,2930550,683673516
2017-11-19,0.02624,0.02848,0.02558,0.02808,4725050,728148813
2017-11-20,0.02815,0.0323,0.02761,0.02958,16172400,766956452
2017-11-21,0.02959,0.02971,0.0274,0.02833,5836790,734526872
2017-11-22,0.0284,0.02903,0.02789,0.02855,4938480,740197122
2017-11-23,0.02854,0.02868,0.02744,0.02744,5132300,711539931
2017-11-24,0.02741,0.0286,0.02696,0.02838,5502350,735856931
2017-11-25,0.02832,0.03045,0.02775,0.03045,6156460,789409295
2017-11-26,0.03044,0.03986,0.03012,0.03633,30527100,941982327
2017-11-27,0.03662,0.05713,0.03662,0.05059,77777296,1311728280
2017-11-28,0.05063,0.1317,0.04795,0.1197,240338000,3104611135
2017-11-29,0.1182,0.1469,0.08144,0.08972,210624992,2326119729
2017-11-30,0.09493,0.1283,0.09493,0.1199,124345000,3108214997
2017-12-01,0.1166,0.1314,0.113,0.1314,73657600,3405572569
2017-12-02,0.1316,0.1389,0.1291,0.1324,56712600,3431473713
2017-12-03,0.1324,0.1392,0.1249,0.1318,46458900,3417369386
2017-12-04,0.1315,0.1459,0.1264,0.1359,76392704,3522711074
2017-12-05,0.1356,0.1364,0.1268,0.1275,50381100,3305390369
2017-12-06,0.1267,0.1329,0.1139,0.1178,75688800,3055220065
2017-12-07,0.1178,0.1242,0.1055,0.1055,71024600,2735331869
2017-12-08,0.1061,0.1207,0.09914,0.1155,70092400,2993669200
2017-12-09,0.1147,0.1387,0.1136,0.1196,63308600,3101110980
2017-12-10,0.1198,0.1198,0.1001,0.1103,46376600,2859263266
2017-12-11,0.1089,0.1214,0.1086,0.1214,39513900,3147105603
2017-12-12,0.1212,0.138,0.1142,0.1339,60056800,3471401401
2017-12-13,0.1337,0.1419,0.1224,0.1343,61575000,3481512959
2017-12-14,0.1337,0.2408,0.1318,0.2408,309307008,6242020013
2017-12-15,0.2332,0.2332,0.187,0.2135,207311008,5534573967
2017-12-16,0.2129,0.4472,0.2042,0.4047,581052032,10491777999
2017-12-17,0.3868,0.5924,0.378,0.513,628142976,13300872384
2017-12-18,0.5119,0.5265,0.4674,0.5182,253463008,13435356099
2017-12-19,0.5203,0.5896,0.5011,0.5313,279631008,13774352546
2017-12-20,0.5337,0.5337,0.4416,0.4862,182924000,12604471269
2017-12-21,0.49,0.5236,0.4565,0.4779,162926000,12389276584
2017-12-22,0.479,0.479,0.2936,0.4072,150972992,10556206770
2017-12-23,0.4144,0.4504,0.3926,0.414,88865000,10734507234
2017-12-24,0.4167,0.4167,0.347,0.39,67372304,10112309395
2017-12-25,0.3923,0.4397,0.3628,0.4164,122194000,10795072870
2017-12-26,0.4136,0.4301,0.4056,0.4285,94896000,11108842278
2017-12-27,0.4271,0.4308,0.4011,0.4142,82067504,10738370367
2017-12-28,0.412,0.4189,0.3679,0.4077,82263800,10570492585
2017-12-29,0.4105,0.5569,0.4039,0.5293,266403008,13723172509
2017-12-30,0.5283,0.7774,0.4716,0.6392,645155968,16573698352
2017-12-31,0.6426,0.7544,0.6423,0.7197,305947008,18659583031
2018-01-01,0.7188,0.7301,0.6719,0.7287,150186000,18891941437
2018-01-02,0.7247,0.7946,0.6979,0.7826,289712000,20290188351
2018-01-03,0.7797,1.09,0.7786,1.08,657398016,27992420977
2018-01-04,1.09,1.33,1.04,1.11,593430016,28885867828
2018-01-05,1.17,1.25,0.9035,0.9996,508100000,25915636700
2018-01-06,0.997,1.05,0.9292,1.03,297615008,26630990503
2018-01-07,1.02,1.04,0.9914,1.01,226067008,26147969179
2018-01-08,0.9993,0.9993,0.7643,0.899,264460992,23308488268
2018-01-09,0.8982,0.9194,0.7962,0.8147,209492000,21123899231
2018-01-10,0.8159,0.8163,0.6768,0.7931,236472000,20563304112
2018-01-11,0.7915,0.7915,0.5725,0.6884,229000992,17848506483
2018-01-12,0.6958,0.9323,0.66,0.8975,365795008,23269753224
2018-01-13,0.9174,0.9693,0.8365,0.8841,313215008,22922745312
2018-01-14,0.882,0.882,0.7495,0.8023,160712000,20800303464
2018-01-15,0.7958,0.8845,0.7774,0.7786,972993024,20186480069
2018-01-16,0.7806,0.7806,0.4799,0.6265,1632649984,16243128203
2018-01-17,0.6241,0.6785,0.4406,0.6291,1713769984,16310771930
2018-01-18,0.6313,0.711,0.5915,0.6598,1285490048,17107796005
2018-01-19,0.6495,0.6885,0.6159,0.6505,584574016,16865507531
2018-01-20,0.6566,0.7262,0.6476,0.7075,738798976,18343661676
2018-01-21,0.7064,0.7064,0.5908,0.6132,847731008,15897520352
2018-01-22,0.615,0.6315,0.5219,0.5705,522984000,14790304805
2018-01-23,0.5665,0.5922,0.52,0.5631,375958016,14598755608
2018-01-24,0.5634,0.636,0.5448,0.6222,689838016,16132030705
2018-01-25,0.6293,0.683,0.6216,0.6375,654814016,16528377833
2018-01-26,0.6339,0.6528,0.5662,0.6234,810062016,16162469086
2018-01-27,0.6235,0.633,0.5953,0.6168,331308992,15992672701
2018-01-28,0.6206,0.6819,0.6206,0.6703,325145984,17378552403
2018-01-29,0.6694,0.6694,0.6208,0.6232,238318000,16157854068
2018-01-30,0.6248,0.6248,0.5234,0.5319,359622016,13790945871
2018-01-31,0.5276,0.5503,0.4713,0.5193,505904000,13464316636
2018-02-01,0.5159,0.5353,0.412,0.4217,595624000,10932719688
2018-02-02,0.4195,0.4195,0.2747,0.3905,1438809984,10125402566
2018-02-03,0.401,0.5016,0.3308,0.4388,1404499968,11377731927
2018-02-04,0.4339,0.4801,0.3698,0.3793,814753984,9834215636
2018-02-05,0.385,0.3995,0.3196,0.3274,658547968,8487771009
2018-02-06,0.3312,0.3787,0.2665,0.3698,1338390016,9586612113
2018-02-07,0.3673,0.3772,0.3325,0.3404,679744000,8826793383
2018-02-08,0.3445,0.3675,0.3368,0.3566,346383008,9245178521
2018-02-09,0.3528,0.3941,0.3429,0.3916,401271008,10153092677
2018-02-10,0.3867,0.4628,0.3854,0.4059,951824000,10523071973
2018-02-11,0.4051,0.4052,0.3636,0.3698,331944000,9587026946
2018-02-12,0.3726,0.3933,0.3726,0.3843,243039008,9964162114
2018-02-13,0.3834,0.387,0.3599,0.3733,225695008,9678938411
2018-02-14,0.3738,0.4013,0.3704,0.3969,299008992,10290661713
2018-02-15,0.3947,0.4167,0.3899,0.4094,348342016,10613713012
2018-02-16,0.4101,0.4124,0.3927,0.4038,192420000,10469610354
2018-02-17,0.4024,0.4281,0.4011,0.4199,341415008,10886336159
2018-02-18,0.4184,0.42,0.3808,0.3856,251314000,9997945087
2018-02-19,0.3869,0.3966,0.3862,0.3915,169966000,10149722158
2018-02-20,0.3909,0.4043,0.3775,0.3788,281249984,9820629851
2018-02-21,0.3756,0.3835,0.3634,0.3644,242378000,9448887514
2018-02-22,0.3627,0.3721,0.3305,0.3379,208342000,8760005250
2018-02-23,0.3348,0.3512,0.3228,0.3453,222508992,8951528520
2018-02-24,0.3437,0.3525,0.3161,0.323,133524000,8373562263
2018-02-25,0.3222,0.3546,0.3144,0.344,247808000,8919767858
2018-02-26,0.3453,0.347,0.3222,0.3383,201812992,8772035410
2018-02-27,0.3391,0.3412,0.331,0.3355,106757000,8699465540
2018-02-28,0.3345,0.3362,0.3126,0.3126,114757000,8104309636
2018-03-01,0.312,0.312,0.2884,0.3044,184691008,7892122491
2018-03-02,0.3044,0.3071,0.2889,0.2935,107240000,7609698911
2018-03-03,0.293,0.3091,0.2925,0.2971,115320000,7703088219
2018-03-04,0.2963,0.3036,0.2862,0.3008,94436000,7798525766
2018-03-05,0.2999,0.3177,0.2911,0.2976,202675008,7716466588
2018-03-06,0.2959,0.303,0.284,0.2854,110305000,7398471068
2018-03-07,0.2847,0.2876,0.2363,0.2473,190792992,6411271930
2018-03-08,0.2482,0.2544,0.2211,0.2217,167808992,5749146402
2018-03-09,0.2213,0.2251,0.1918,0.2222,246848992,5761176563
2018-03-10,0.2252,0.2266,0.2089,0.2099,129138000,5441392075
2018-03-11,0.2097,0.2273,0.1982,0.2235,161362000,5794648411
2018-03-12,0.2241,0.2373,0.2197,0.2237,184250000,5800456075
2018-03-13,0.2231,0.2291,0.2154,0.223,98868704,5782410834
2018-03-14,0.2234,0.2331,0.196,0.1996,144156000,5174058051
2018-03-15,0.1988,0.2016,0.1725,0.1857,204232992,4814890343
2018-03-16,0.1868,0.1868,0.1751,0.1789,97455296,4637782524
2018-03-17,0.1788,0.1792,0.1531,0.1548,81096600,4012551218
2018-03-18,0.1539,0.162,0.127,0.1562,189688992,4048641700
2018-03-19,0.1607,0.1976,0.1569,0.1976,321964000,5124433638
2018-03-20,0.1934,0.212,0.1803,0.2049,249683008,5313675326
2018-03-21,0.2053,0.2275,0.2014,0.2132,257686000,5527366241
2018-03-22,0.2154,0.222,0.1921,0.2035,201540000,5275666240
2018-03-23,0.2023,0.2028,0.1814,0.1893,148850000,4906931443
2018-03-24,0.1888,0.2012,0.183,0.1892,132660000,4905427673
2018-03-25,0.1884,0.1891,0.1817,0.1846,59349400,4786266857
2018-03-26,0.184,0.1854,0.1611,0.1678,117497000,4350717999
2018-03-27,0.1682,0.1692,0.1502,0.1549,107510000,4016777330
2018-03-28,0.1552,0.1656,0.1545,0.1601,60260800,4149835056
2018-03-29,0.1601,0.1606,0.1457,0.1469,103465000,3808219975
2018-03-30,0.1467,0.1518,0.1363,0.1472,119874000,3816698127
2018-03-31,0.1471,0.1606,0.1449,0.1559,113124000,4042522911
2018-04-01,0.1566,0.1608,0.1413,0.1508,100833000,3908972571
2018-04-02,0.1517,0.1588,0.1486,0.1564,102697000,4054604926
2018-04-03,0.1579,0.1734,0.1553,0.1724,155987008,4471045533
2018-04-04,0.1712,0.1792,0.1536,0.1554,154800992,4027925971
2018-04-05,0.1556,0.1562,0.1437,0.1488,113407000,3856859159
2018-04-06,0.1484,0.1505,0.1418,0.1445,51827500,3745191266
2018-04-07,0.1449,0.1515,0.1438,0.1488,48205400,3857792534
2018-04-08,0.1488,0.1585,0.1488,0.1566,51093100,4060153319
2018-04-09,0.1571,0.1657,0.1475,0.1531,93021904,3969590062
2018-04-10,0.1532,0.1578,0.1493,0.1563,55981300,4053619697
2018-04-11,0.1568,0.1664,0.1541,0.166,91793296,4304645594
2018-04-12,0.1668,0.2145,0.1645,0.2122,488007008,5502579961
2018-04-13,0.2116,0.2184,0.1966,0.2005,230412992,5199207309
2018-04-14,0.1987,0.2065,0.1947,0.2009,113212000,5207529899
2018-04-15,0.2014,0.2234,0.1999,0.2214,169798000,5739994146
2018-04-16,0.2219,0.2566,0.2118,0.2566,678780992,6654078945
2018-04-17,0.2551,0.2726,0.2428,0.2437,520975008,6319049340
2018-04-18,0.2427,0.2624,0.2427,0.2603,181118000,6749879471
2018-04-19,0.2675,0.2738,0.2608,0.2724,240910000,7061445078
2018-04-20,0.271,0.3016,0.2697,0.3012,349348992,7810452218
2018-04-21,0.3023,0.3076,0.2727,0.2906,294632992,7533888157
2018-04-22,0.2875,0.2969,0.2808,0.2855,160968000,7403086086
2018-04-23,0.2856,0.2896,0.2836,0.2885,127213000,7479259819
2018-04-24,0.2885,0.3187,0.2873,0.3129,369016992,8111932195
2018-04-25,0.3128,0.3128,0.2652,0.2717,351596000,7043192420
2018-04-26,0.2708,0.295,0.2599,0.2943,220715008,7630207224
2018-04-27,0.2946,0.3075,0.2878,0.2885,197183008,7479674652
2018-04-28,0.2871,0.365,0.2871,0.3579,636742016,9278624442
2018-04-29,0.3607,0.3879,0.3475,0.3651,671886976,9464858589
2018-04-30,0.3643,0.3643,0.3366,0.3433,298712000,8901230003
2018-05-01,0.343,0.3633,0.3237,0.3587,365521984,9299858712
2018-05-02,0.3576,0.3767,0.3493,0.3724,272855008,9655759610
2018-05-03,0.3719,0.3897,0.3688,0.3697,300814016,9585471322
2018-05-04,0.3708,0.3708,0.3508,0.3602,171266000,9338464121
2018-05-05,0.3613,0.3736,0.361,0.3663,139447008,9498071167
2018-05-06,0.3659,0.3659,0.3415,0.35,148186000,9075019157
2018-05-07,0.3499,0.3499,0.3235,0.3352,171384992,8690131795
2018-05-08,0.3356,0.3482,0.3231,0.3284,142455008,8513205465
2018-05-09,0.3284,0.3284,0.3045,0.3236,178122000,8389818537
2018-05-10,0.3239,0.3279,0.2963,0.2971,122958000,7702647459
2018-05-11,0.2968,0.2995,0.2481,0.2601,348752000,6744331078
2018-05-12,0.2626,0.2834,0.2413,0.2709,255480992,7024473075
2018-05-13,0.2716,0.2902,0.2644,0.2859,179522000,7412290196
2018-05-14,0.2859,0.2861,0.2611,0.2734,161643008,7089342605
2018-05-15,0.2743,0.2788,0.2577,0.2602,97408800,6745057036
2018-05-16,0.2591,0.2602,0.2437,0.2564,108749000,6647052709
2018-05-17,0.2574,0.2631,0.2422,0.2437,83683800,6317493716
2018-05-18,0.2428,0.2468,0.2348,0.2455,79212200,6366236608
2018-05-19,0.2462,0.2484,0.2389,0.2433,57778000,6307304377
2018-05-20,0.2431,0.2608,0.241,0.2561,101310000,6640856139
2018-05-21,0.2561,0.2612,0.2471,0.2488,85090304,6451692233
2018-05-22,0.2494,0.2501,0.2234,0.2244,78363296,5818242045
2018-05-23,0.2244,0.2262,0.1988,0.2029,124268000,5259902581
2018-05-24,0.2033,0.2133,0.1931,0.209,127678000,5418472545
2018-05-25,0.2091,0.2106,0.1973,0.2007,83368000,5202396339
2018-05-26,0.1998,0.2055,0.1959,0.1966,60616400,5096406474
2018-05-27,0.1964,0.1964,0.1923,0.1936,58991000,5018365992
2018-05-28,0.1937,0.195,0.174,0.1748,95106200,4531611170
2018-05-29,0.1755,0.2087,0.1742,0.2032,185184000,5268121463
2018-05-30,0.2037,0.218,0.2012,0.2111,222612000,5474319455
2018-05-31,0.2104,0.2301,0.2062,0.2252,202076000,5839139264
2018-06-01,0.2245,0.2292,0.217,0.2225,130538000,5768954684
2018-06-02,0.2227,0.2295,0.2192,0.2277,116435000,5904682898
2018-06-03,0.2277,0.2368,0.2251,0.2282,117208000,5915364852
2018-06-04,0.2282,0.2312,0.2123,0.214,115605000,5548704220
2018-06-05,0.2142,0.2217,0.2048,0.2205,119846000,5716063460
2018-06-06,0.2206,0.2209,0.2107,0.2157,84766304,5593013584
2018-06-07,0.2161,0.2194,0.2096,0.2111,76949400,5473697205
2018-06-08,0.2108,0.2108,0.2026,0.2054,68728600,5324331352
2018-06-09,0.2053,0.2097,0.2021,0.2021,51481400,5239627612
2018-06-10,0.2015,0.2015,0.1711,0.1769,137836000,4585669112
2018-06-11,0.1763,0.1819,0.1679,0.1813,89350704,4700059347
2018-06-12,0.1813,0.1829,0.1628,0.1666,82885904,4319061046
2018-06-13,0.1661,0.1668,0.1512,0.1604,99731600,4158909531
2018-06-14,0.1602,0.1765,0.1554,0.1724,199562000,4469178784
2018-06-15,0.1722,0.1722,0.1619,0.1627,73950496,4219552949
2018-06-16,0.1627,0.1646,0.1599,0.163,42213400,4225127269
2018-06-17,0.1631,0.1645,0.161,0.1614,35748800,4184110643
2018-06-18,0.1611,0.1675,0.1567,0.1641,55507800,4255073035
2018-06-19,0.1647,0.1699,0.1621,0.1672,69854400,4334617288
2018-06-20,0.1668,0.1673,0.1568,0.162,83625600,4199796521
2018-06-21,0.1621,0.1638,0.1576,0.1586,41237700,4110892596
2018-06-22,0.1585,0.159,0.1374,0.1398,79062000,3625615617
2018-06-23,0.1403,0.1433,0.1349,0.1379,38721800,3574513361
2018-06-24,0.1384,0.1386,0.122,0.1327,73037504,3440600042
2018-06-25,0.1323,0.1383,0.1286,0.1353,57752100,3507128905
2018-06-26,0.1356,0.1361,0.1261,0.1261,32927500,3269377668
2018-06-27,0.1266,0.128,0.1239,0.1274,37072400,3304249578
2018-06-28,0.1274,0.1285,0.1185,0.1193,42250100,3093618057
2018-06-29,0.1194,0.1274,0.1147,0.1257,65802200,3259551308
2018-06-30,0.126,0.1384,0.126,0.1377,104599000,3569405728
2018-07-01,0.1383,0.1457,0.1339,0.1422,108733000,3687036847
2018-07-02,0.1426,0.1619,0.1386,0.1583,161860000,4103684871
2018-07-03,0.1585,0.1667,0.1495,0.1507,108280000,3906042812
2018-07-04,0.1502,0.1599,0.1469,0.151,86594896,3913950568
2018-07-05,0.1516,0.1546,0.1451,0.1489,73881296,3861085272
2018-07-06,0.1487,0.1487,0.1395,0.1461,69138800,3787530172
2018-07-07,0.1463,0.1504,0.1389,0.1504,47965500,3898731378
2018-07-08,0.15,0.1514,0.1448,0.1454,48142400,3769510858
2018-07-09,0.1453,0.1461,0.1399,0.14,42768500,3629037990
2018-07-10,0.1397,0.1407,0.1288,0.1288,62318800,3339199269
2018-07-11,0.1288,0.1339,0.1265,0.1315,50179700,3408969016
2018-07-12,0.1316,0.1316,0.1232,0.1272,37623900,3297430758
2018-07-13,0.1273,0.1417,0.126,0.1379,92778496,3575005975
2018-07-14,0.1384,0.1399,0.1339,0.1371,55022100,3554393954
2018-07-15,0.137,0.1455,0.1353,0.1423,50143900,3688436909
2018-07-16,0.1423,0.1568,0.141,0.1561,90578096,4047682398
2018-07-17,0.1549,0.1746,0.1504,0.1709,133441000,4430028907
2018-07-18,0.1703,0.1929,0.1703,0.1794,323366016,4650746059
2018-07-19,0.179,0.1895,0.1723,0.1809,216980992,4689403321
2018-07-20,0.1799,0.1826,0.1616,0.1622,215667008,4204722665
2018-07-21,0.162,0.1688,0.1557,0.1636,125996000,4242628042
2018-07-22,0.1639,0.1778,0.1631,0.1703,139332992,4414783790
2018-07-23,0.1695,0.1794,0.164,0.164,147071008,4252765526
2018-07-24,0.1647,0.1768,0.1613,0.1732,191390000,4489842659
2018-07-25,0.1724,0.1753,0.1668,0.1727,123649000,4478408821
2018-07-26,0.1724,0.1747,0.1625,0.1648,84282200,4271873777
2018-07-27,0.1645,0.1687,0.1567,0.1655,103693000,4291967257
2018-07-28,0.1662,0.1662,0.16,0.1634,51592200,4235964785
2018-07-29,0.1642,0.1648,0.1604,0.1633,47319500,4234227671
2018-07-30,0.1632,0.1632,0.1493,0.1541,69612600,3995024518
2018-07-31,0.1541,0.1542,0.1408,0.1433,93183800,3715271427
2018-08-01,0.1431,0.145,0.1372,0.1409,79987900,3653150166
2018-08-02,0.1413,0.1425,0.1305,0.1319,68531400,3420843614
2018-08-03,0.1314,0.1348,0.1245,0.1303,77768900,3377130573
2018-08-04,0.1308,0.1346,0.1254,0.1275,54577300,3306920066
2018-08-05,0.1273,0.132,0.1255,0.1317,43901500,3415139658
2018-08-06,0.1309,0.1364,0.1282,0.1306,57534800,3384856840
2018-08-07,0.1309,0.1331,0.1246,0.1254,57321700,3250684250
2018-08-08,0.1256,0.1256,0.1126,0.1138,82209700,2949256128
2018-08-09,0.1145,0.1271,0.1145,0.1235,93016600,3202174701
